•¶Žš—ñ,Œ‹‰Ê,beatles‚ÌŠm—¦,rolling stones‚ÌŠm—¦
ggfggfgg,beatles,0.008723704605828005,0.0002933696826880001
ggfgggff,beatles,0.0020938955028880005,0.0013913017312000007
ggfgggfg,beatles,0.008016885256332006,0.0003544356563200001
ggfggggf,beatles,0.007801582194864004,0.0004185775363840002
ggfggggg,beatles,0.030969173352796014,0.00011318135513600003
gggfffff,rolling stones,0.0009349278412440002,0.020709372714112006
gggffffg,rolling stones,0.0022106857401159997,0.005189051137408002
gggfffgf,rolling stones,0.001271800601148,0.005254257288832001
gggfffgg,beatles,0.004622197455971998,0.0013251848154880003
gggffgff,rolling stones,0.000825858041192,0.005459215467904001
gggffgfg,beatles,0.002786836005788001,0.0013736889621760004
gggffggf,beatles,0.0024695467178160015,0.0014406886808320005
gggffggg,beatles,0.009632496937724003,0.00037025034764800026
gggfgfff,rolling stones,0.0006784532129239999,0.006177263402752004
gggfgffg,beatles,0.0020219139296360003,0.0015526740743680007
gggfgfgf,rolling stones,0.0016020978248040007,0.0016037562749440007
gggfgfgg,beatles,0.006170311941956002,0.00040955426329600025
gggfggff,rolling stones,0.0014360963432400013,0.0018251066571520007
gggfggfg,beatles,0.005370327054860004,0.00046296277772800014
gggfgggf,beatles,0.005145879746432002,0.0005230637182720002
gggfgggg,beatles,0.020342492777148013,0.00013905335308800007
ggggffff,rolling stones,0.0008296830425400003,0.009106160193664004
ggggfffg,rolling stones,0.002146729677060001,0.002284859295616001
ggggffgf,rolling stones,0.0014353387375480003,0.0023325619774720004
ggggffgg,beatles,0.005347874095572001,0.0005914965518080002
ggggfgff,rolling stones,0.0011108985805840007,0.002500896858880001
ggggfgfg,beatles,0.003981301032876,0.00063164312704
ggggfggf,beatles,0.0037042687283279996,0.0006829691799040001
ggggfggg,beatles,0.014559003640491997,0.00017823652121600007
gggggfff,rolling stones,0.0010994477500920002,0.0033326549547520014
gggggffg,beatles,0.0035913872983880006,0.000839124905728
gggggfgf,beatles,0.0031126108805000015,0.0008788300894720003
gggggfgg,beatles,0.012128728072500003,0.0002260948922880001
ggggggff,beatles,0.0029414336805840013,0.0010904876419840003
ggggggfg,beatles,0.011249287774876002,0.0002776725167360001
gggggggf,beatles,0.010950485451024006,0.00032948433907200003
gggggggg,beatles,0.04343881108503602,8.9100618368e-05
fffffffff,rolling stones,0.00014096025192780005,0.036987009123699205
ffffffffg,rolling stones,0.0003291971407082001,0.009251474203020802
fffffffgf,rolling stones,0.00018301287584172006,0.009277666350768642
fffffffgg,rolling stones,0.0006709917870910802,0.0023240861674777603
ffffffgff,rolling stones,0.00011058373973256003,0.009358907989967363
ffffffgfg,rolling stones,0.00037976000793484005,0.0023432744026086407
ffffffggf,rolling stones,0.00034070882847192003,0.0023699398517376007
ffffffggg,beatles,0.0013437444955018806,0.0005964999674240002
fffffgfff,rolling stones,7.663990703468005e-05,0.009630266354557443
fffffgffg,rolling stones,0.00023854342960052006,0.0024108696591129608
fffffgfgf,rolling stones,0.000196201534965,0.002430929635269121
fffffgfgg,beatles,0.0007666182696290001,0.0006111232950860803
fffffggff,rolling stones,0.00017634906102695987,0.0025163798116992005
fffffggfg,beatles,0.0006825401081644396,0.0006317179128704002
fffffgggf,beatles,0.0006682489458473598,0.0006550963070694402
fffffgggg,beatles,0.002663156237642039,0.00016700917179136003
ffffgffff,rolling stones,6.553682937244e-05,0.010546743563932162
ffffgfffg,rolling stones,0.00018097840413716009,0.0026400332381158404
ffffgffgf,rolling stones,0.00013048373578684004,0.002659018921740801
ffffgffgg,rolling stones,0.0005004456312067601,0.0006680932297088003
ffffgfgff,rolling stones,0.0001056871781748,0.0027235733111628806
ffffgfgfg,rolling stones,0.0004000773631061999,0.0006834363577011202
ffffgfggf,rolling stones,0.0003859875755159201,0.00070346312596736
ffffgfggg,beatles,0.0015363286870498807,0.00017880989096704002
ffffggfff,rolling stones,9.822460074108e-05,0.003013807762496001
ffffggffg,rolling stones,0.0003585973785181199,0.0007558050048896004
ffffggfgf,rolling stones,0.00033734849691843984,0.0007710894081766401
ffffggfgg,beatles,0.00133949824474116,0.00019525993986816003
ffffgggff,rolling stones,0.00032840612915368005,0.0008482957860377604
ffffgggfg,beatles,0.0012977590683265203,0.0002140260442086401
ffffggggf,beatles,0.0012879125316888004,0.00023338893891840004
ffffggggg,beatles,0.005142655777442201,6.089797594880002e-05
fffgfffff,rolling stones,7.373045093212003e-05,0.013622753262205444
fffgffffg,rolling stones,0.00018377612819668,0.0034093364620569615
fffgfffgf,rolling stones,0.00011465098967996001,0.003429655280325121
fffgfffgg,rolling stones,0.0004291142937264401,0.0008610252309580802
fffgffgff,rolling stones,8.057855820391996e-05,0.0034938869131392013
fffgffgfg,rolling stones,0.0002917196935298799,0.0008762115917184002
fffgffggf,rolling stones,0.00027269288078200007,0.00089702096396544
fffgffggg,beatles,0.0010806867169190005,0.00022737129428736008
fffgfgfff,rolling stones,6.54584837542e-05,0.0037250270545843224
fffgfgffg,rolling stones,0.0002267445347178,0.0009337893238348804
fffgfgfgf,rolling stones,0.00020503579814052,0.0009494058223027204
fffgfgfgg,beatles,0.0008101328639942803,0.00023996802402048018
fffgfggff,rolling stones,0.00019518807051976,0.0010188201766118405
fffgfggfg,beatles,0.0007674428915956402,0.0002567344949529601
fffgfgggf,beatles,0.0007592572886195198,0.0002752989843379201
fffgfgggg,beatles,0.0030304346617682793,7.136240773888004e-05
fffggffff,rolling stones,7.073153273964002e-05,0.004735273030310401
fffggfffg,rolling stones,0.00022156207326596008,0.0011863242951552
fffggffgf,rolling stones,0.0001835733979674801,0.0012007825516262404
fffggffgg,beatles,0.0007171733085397205,0.0003027124578585601
fffggfgff,rolling stones,0.00016523400564072004,0.00125314263342336
fffggfgfg,beatles,0.0006421785614570801,0.00031520899010304
fffggfggf,beatles,0.0006306426740301603,0.00033086579738879997
fffggfggg,beatles,0.0025150884748292414,8.498023427840001e-05
fffgggfff,rolling stones,0.00016240638909004,0.0015267373363430396
fffgggffg,beatles,0.0006160473677435602,0.00038346171384575994
fffgggfgf,beatles,0.0005954715521880401,0.0003955645307827199
fffgggfgg,beatles,0.0023711557973035606,0.00010081076747007998
fffggggff,beatles,0.0005873971529556001,0.0004630394354303997
fffggggfg,beatles,0.0023314464529974005,0.00011728197620479992
fffgggggf,beatles,0.002320410131756321,0.00013342944642303996
fffgggggg,beatles,0.009270240617415484,3.5422796316160006e-05
ffgffffff,rolling stones,0.00010648052895835999,0.023091117090997773
ffgfffffg,rolling stones,0.00025203120491604003,0.0057772088832742435
ffgffffgf,rolling stones,0.00014387521444412,0.005801773954035203
ffgffffgg,rolling stones,0.0005293696099926802,0.001454820851110401
ffgfffgff,rolling stones,9.053903304808004e-05,0.005878016609185282
ffgfffgfg,rolling stones,0.00031435418131612003,0.0014728221760947208
ffgfffggf,rolling stones,0.0002845835291314403,0.0014978000737049608
ffgfffggg,beatles,0.0011225910031231608,0.00037820740569344025
ffgffgfff,rolling stones,6.634857981436003e-05,0.006134299786534404
ffgffgffg,rolling stones,0.00021172145872804007,0.0015366420831872012
ffgffgfgf,rolling stones,0.00017844069503396005,0.001555312278218241
ffgffgfgg,beatles,0.0006987544026144402,0.0003919792583705602
ffgffggff,rolling stones,0.00016324149021320012,0.001635396063311361
ffgffggfg,beatles,0.0006330792590158005,0.00041128607515904025
ffgffgggf,beatles,0.0006207531840284802,0.0004331070616448001
ffgffgggg,beatles,0.0024734145133017207,0.00011128968131840007
ffgfgffff,rolling stones,6.0841829151800003e-05,0.007031624284628482
ffgfgfffg,rolling stones,0.00017516019980420004,0.0017609459996595206
ffgfgffgf,rolling stones,0.00013294122842892,0.0017782350637337609
ffgfgffgg,beatles,0.0005127072155118799,0.0004475935540966402
ffgfgfgff,rolling stones,0.00011250971850216,0.001837658355514881
ffgfgfgfg,rolling stones,0.00042935687162924007,0.0004617261889971203
ffgfgfggf,rolling stones,0.00041662431655112,0.00048003770394368004
ffgfgfggg,beatles,0.00165830431153068,0.00012269330292992003
ffgfggfff,rolling stones,0.00010747469625548006,0.0021126429326105605
ffgfggffg,rolling stones,0.0003971386589717202,0.0005302947972838401
ffgfggfgf,rolling stones,0.0003770882638450002,0.0005442771026816
ffgfggfgg,beatles,0.0014978486291090008,0.00013833405205760003
ffgfgggff,rolling stones,0.00036902621173256025,0.0006162805746252802
ffgfgggfg,beatles,0.0014591828348828409,0.00015585048165632
ffgfggggf,beatles,0.0014489329442609609,0.00017373911902976007
ffgfggggg,beatles,0.005785282693152444,4.577781071104001e-05
ffggfffff,rolling stones,8.465716380972009e-05,0.010579170581158407
ffggffffg,rolling stones,0.0002171842424710801,0.0026478917155712007
ffggfffgf,rolling stones,0.0001419354504142,0.002665202889290241
ffggfffgg,rolling stones,0.0005341456324098,0.0006693719783705603
ffggffgff,rolling stones,0.00010523855107144,0.002720611396559361
ffggffgfg,rolling stones,0.00038530371470315986,0.0006824835680230403
ffggffggf,rolling stones,0.00036323705495063983,0.0007002963540608005
ffggffggg,beatles,0.0014394546470599598,0.00017773284151040007
ffggfgfff,rolling stones,9.017084912076007e-05,0.0029289134720230417
ffggfgffg,rolling stones,0.0003174014021896402,0.0007343797365017605
ffggfgfgf,rolling stones,0.0002908378328085202,0.0007477681577907206
ffggfgfgg,beatles,0.00114997604653428,0.00018917369508608014
ffggfggff,rolling stones,0.00027936228743207994,0.0008087480680064007
ffggfggfg,beatles,0.0010983972046121197,0.00020392130497280013
ffggfgggf,beatles,0.0010868404954406405,0.00022002543643904018
ffggfgggg,beatles,0.004336592849091961,5.7192429596160034e-05
ffgggffff,rolling stones,9.92253737241201e-05,0.00395137281334016
ffgggfffg,rolling stones,0.0003193542329246802,0.0009899570573542401
ffgggffgf,rolling stones,0.0002717025059407603,0.0010022818974080004
ffgggffgg,beatles,0.0010635092087776406,0.0002527029610112001
ffgggfgff,rolling stones,0.0002491776154503201,0.00104856725965568
ffgggfgfg,beatles,0.0009703905880594802,0.00026377544206592006
ffgggfggf,beatles,0.0009543917432228008,0.00027733535342336
ffgggfggg,beatles,0.003805221710970203,7.127574079744002e-05
ffggggfff,rolling stones,0.00024676381877340015,0.0013088763761792005
ffggggffg,beatles,0.0009402696859066,0.0003287291135360001
ffggggfgf,beatles,0.0009119940635965208,0.00033929733665024014
ffggggfgg,beatles,0.003631388472818284,8.647618864896005e-05
ffgggggff,beatles,0.0009013267195421603,0.00040131449566975996
ffgggggfg,beatles,0.0035779611422692417,0.00010164648066304003
ffggggggf,beatles,0.0035617218921019213,0.00011614600354560001
ffggggggg,beatles,0.01422871814280189,3.08626550912e-05
fgfffffff,rolling stones,0.00017605785020508006,0.040824495477719054
fgffffffg,rolling stones,0.00041140119030612,0.010211886891663363
fgfffffgf,rolling stones,0.00022923669932860006,0.010243824366059523
fgfffffgg,rolling stones,0.0008393766185994003,0.002566649798983681
fgffffgff,rolling stones,0.00013936283966056007,0.010342639232409603
fgffffgfg,rolling stones,0.00047713047491484045,0.002589975733248001
fgffffggf,rolling stones,0.0004270530100197603,0.002622414143447041
fgffffggg,beatles,0.001681875147975641,0.0006604872655257603
fgfffgfff,rolling stones,9.852663321084004e-05,0.010670640473886727
fgfffgffg,rolling stones,0.00030398674970276017,0.0026716522731724817
fgfffgfgf,rolling stones,0.0002480007889782802,0.0026958961583923215
fgfffgfgg,beatles,0.0009672043718509209,0.0006780714748108803
fgfffggff,rolling stones,0.00022239382562952008,0.0027991926666854406
fgfffggfg,beatles,0.0008564238600602802,0.0007029655415193602
fgfffgggf,beatles,0.0008357396047593602,0.0007312122364723201
fgfffgggg,beatles,0.003327154155278041,0.00018671059304448
fgffgffff,rolling stones,8.851201579628006e-05,0.0117627123322368
fgffgfffg,rolling stones,0.00024063222665092016,0.0029446452300288003
fgffgffgf,rolling stones,0.00017023901120524009,0.0029671479151718405
fgffgffgg,rolling stones,0.0006501406619963607,0.00074574304183296
fgffgfgff,rolling stones,0.00013593365315048002,0.0030437142725529606
fgffgfgfg,rolling stones,0.0005106510555217201,0.0007639401362534402
fgffgfggf,rolling stones,0.0004901634967700006,0.0007876737679871998
fgffgfggg,beatles,0.001948479328739002,0.00020040605567999998
fgffggfff,rolling stones,0.00012752092459979993,0.0033888759432806406
fgffggffg,rolling stones,0.00045646262820819996,0.0008499993731481602
fgffggfgf,rolling stones,0.00042338426332788013,0.0008680819137331198
fgffggfgg,beatles,0.00167738241841332,0.00021996131155968
fgffgggff,rolling stones,0.00040991411454344026,0.0009596858976768001
fgffgggfg,beatles,0.0016128508275791602,0.00024222942243840004
fgffggggf,beatles,0.0015963310374148808,0.00026516867748864004
fgffggggg,beatles,0.006369293964603326,6.931126189056002e-05
fgfgfffff,rolling stones,0.00010665249951020007,0.015337917234078726
fgfgffffg,rolling stones,0.00026241815290180016,0.003838567589268482
fgfgfffgf,rolling stones,0.00016053430589452013,0.003861341561656322
fgfgfffgg,rolling stones,0.0005974265879502808,0.0009693822525388805
fgfgffgff,rolling stones,0.00011064170722376006,0.003933409294525442
fgfgffgfg,rolling stones,0.00039551181085164015,0.0009864212137113604
fgfgffggf,rolling stones,0.00036632124950552016,0.0010097472397363203
fgfgffggg,beatles,0.0014483100457722811,0.00025592822926848006
fgfgfgfff,rolling stones,8.955113896908003e-05,0.004193931548421122
fgfgfgffg,rolling stones,0.00030213480368212006,0.0010513147499980804
fgfgfgfgf,rolling stones,0.0002675969666274001,0.0010687977616742402
fgfgfgfgg,beatles,0.0010536317373426001,0.00027012667439616005
fgfgfggff,rolling stones,0.00025241716377896,0.0011467654478899204
fgfgfggfg,beatles,0.0009861867276124395,0.0002889620295628801
fgfgfgggf,beatles,0.0009718402876185606,0.00030977674670592013
fgfgfgggg,beatles,0.003874633934078841,8.028664032768e-05
fgfggffff,rolling stones,0.00010058730888444006,0.005349871899402244
fgfggfffg,rolling stones,0.0003017991263851601,0.0013402530093465602
fgfggffgf,rolling stones,0.00023979046996764014,0.0013563456865075202
fgfggffgg,beatles,0.00092998224089796,0.0003418852277452801
fgfggfgff,rolling stones,0.0002101870996052001,0.0014149449303552004
fgfggfgfg,beatles,0.0008082081787718002,0.00035587563648000007
fgfggfggf,beatles,0.0007883165472727203,0.00037334285159424004
fgfggfggg,beatles,0.0031390173877650814,9.585757418496001e-05
fgfgggfff,rolling stones,0.00020664677435228005,0.00172477876188672
fgfgggffg,beatles,0.0007678552269549199,0.00043317077150208
fgfgggfgf,beatles,0.0007321116464624399,0.00044668453197312005
fgfgggfgg,beatles,0.0029086353666371596,0.00011380965032448004
fgfggggff,beatles,0.0007184067926800802,0.00052265421579264
fgfggggfg,beatles,0.0028403746550961194,0.00013236081785856002
fgfgggggf,beatles,0.0028203839458472,0.00015047173420032004
fgfgggggg,beatles,0.0112599589960998,3.992874308608e-05
fggffffff,rolling stones,0.00015224345708076,0.02639385603659521
fggfffffg,rolling stones,0.00035972561517764003,0.0066027196712064
fggffffgf,rolling stones,0.00020511293846155998,0.006626326925053443
fggffffgg,rolling stones,0.0007522455280808403,0.0016607877052953605
fggfffgff,rolling stones,0.0001294514481108,0.006699689681026562
fggfffgfg,rolling stones,0.00044590288506220015,0.0016781106552038402
fggfffggf,rolling stones,0.00040120685537688015,0.0017021262769536
fggfffggg,beatles,0.0015784527064993206,0.00042914306760960015
fggffgfff,rolling stones,9.705676936012005e-05,0.006947558744778243
fggffgffg,rolling stones,0.00030345801574868024,0.0017398359979545603
fggffgfgf,rolling stones,0.00025108187243476,0.0017577878821555205
fggffgfgg,beatles,0.0009795520403736403,0.0004424753331532802
fggffggff,rolling stones,0.00022807134598632004,0.001834999496947201
fggffggfg,beatles,0.0008768109026434799,0.00046109243270400015
fggffgggf,beatles,0.0008548934410768001,0.00048210090541824007
fggffgggg,beatles,0.0034004718972462013,0.00012342378890496
fggfgffff,rolling stones,9.431964676348006e-05,0.007833401551311363
fggfgfffg,rolling stones,0.0002626106376837202,0.00196126396303104
fggfgffgf,rolling stones,0.00019188638076700007,0.0019778540592768003
fggfgffgg,beatles,0.0007342848434170003,0.0004973737513344001
fggfgfgff,rolling stones,0.00015805345920456008,0.0020351263005004804
fggfgfgfg,beatles,0.0005953343268908402,0.0005109991396531201
fggfgfggf,beatles,0.00057273855065896,0.00052860414617856
fggfgfggg,beatles,0.0022748802763244403,0.00013472858337024003
fggfggfff,rolling stones,0.0001521201473276401,0.0023031445272960003
fggfggffg,rolling stones,0.0005460430775379604,0.0005778333174912
fggfggfgf,rolling stones,0.0005080099578326802,0.0005912897205734402
fggfggfgg,beatles,0.00201114772377252,0.00014999828741376006
fggfgggff,rolling stones,0.0004932467561303201,0.0006610724409369601
fggfgggfg,beatles,0.0019383787389514805,0.00016697985264384007
fggfggggf,beatles,0.0019175379192273604,0.00018425908419840008
fggfggggg,beatles,0.0076479016257900425,4.832339383040001e-05
fgggfffff,rolling stones,0.00012913997598396006,0.011592330982794245
fgggffffg,rolling stones,0.0003257835064344402,0.0029010102500505613
fgggfffgf,rolling stones,0.00020805945096732015,0.002917386994283521
fgggfffgg,beatles,0.0007770769511974806,0.00073225008803328
fgggffgff,rolling stones,0.00015132540370088008,0.0029701079323392007
fgggffgfg,rolling stones,0.0005454544968153201,0.00074473178688
fgggffggf,rolling stones,0.0005085519903698402,0.0007616263589222403
fgggffggg,beatles,0.0020087101810607605,0.00019292502391296006
fgggfgfff,rolling stones,0.00013004858584796005,0.003172096198686721
fgggfgffg,rolling stones,0.0004438833877984404,0.0007950607930060801
fgggfgfgf,rolling stones,0.0003973249088595602,0.0008077849888051203
fgggfgfgg,beatles,0.0015643327929328412,0.00020406275662848006
fgggfggff,rolling stones,0.00037808193594120003,0.0008663191249766404
fgggfggfg,beatles,0.0014747969730878004,0.00021822622189056012
fgggfgggf,beatles,0.0014521735363212803,0.0002336073813043201
fgggfgggg,beatles,0.005785800006160921,6.048400772608003e-05
fggggffff,rolling stones,0.00014621329915980009,0.004208893556390402
fggggfffg,rolling stones,0.0004522905040362003,0.0010542227203968004
fggggffgf,rolling stones,0.00037133885010412,0.00106593320066304
fggggffgg,beatles,0.00144314402340468,0.00026850447004416004
fggggfgff,rolling stones,0.00033375345111975993,0.00111057741248256
fggggfgfg,beatles,0.0012863114418356397,0.00027919489645824
fggggfggf,beatles,0.00125693695657032,0.0002921679957888
fggggfggg,beatles,0.0050025318576794806,7.489273376e-05
fgggggfff,rolling stones,0.0003310238885482801,0.0013688360800358402
fgggggffg,beatles,0.0012385095591909202,0.00034364304193536
fgggggfgf,beatles,0.0011872821839810004,0.00035379272282112003
fgggggfgg,beatles,0.004716710775933003,9.002537110528003e-05
fggggggff,beatles,0.0011684965003341602,0.0004145469105024
fggggggfg,beatles,0.0046213768295052405,0.00010489831389440001
fgggggggf,beatles,0.00459059408359056,0.00011897853040384006
fgggggggg,beatles,0.01832626989252685,3.150745707776001e-05
gffffffff,rolling stones,0.0004483868039996401,0.028121339933634575
gfffffffg,rolling stones,0.00104646876307796,0.007033959400509443
gffffffgf,rolling stones,0.0005809832148716401,0.007054068112486402
gffffffgg,beatles,0.0021297706098339603,0.0017671026025472005
gfffffgff,rolling stones,0.0003502798892196,0.0071164551291084815
gfffffgfg,rolling stones,0.0012022804031733998,0.0017818403737395205
gfffffggf,rolling stones,0.0010781600273791203,0.0018023276797337604
gfffffggg,beatles,0.004252288728094682,0.00045366757873664025
gffffgfff,rolling stones,0.00024196669358588003,0.007324728881561602
gffffgffg,rolling stones,0.00075212171578532,0.0018337281966080005
gffffgfgf,rolling stones,0.0006177516044816405,0.0018491814512230404
gffffgfgg,beatles,0.002413590383585961,0.0004649086855577602
gffffggff,rolling stones,0.0005546466933568802,0.0019148912530841606
gffffggfg,beatles,0.0021465857261313208,0.0004807446714982402
gffffgggf,beatles,0.0021014988266576007,0.0004987426688000001
gffffgggg,beatles,0.008375301551645403,0.00012717780101120004
gfffgffff,rolling stones,0.00020624328692331993,0.008024501166663683
gfffgfffg,rolling stones,0.0005678772568614798,0.0020087228911923206
gfffgffgf,rolling stones,0.00040782823387660005,0.0020234483370905605
gfffgffgg,beatles,0.0015637633564834002,0.0005084526294118401
gfffgfgff,rolling stones,0.0003290885376458399,0.0020734024008396803
gfffgfgfg,beatles,0.00124533597874476,0.0005203244942643202
gfffgfggf,beatles,0.00120113086318024,0.0005358471473868801
gfffgfggg,beatles,0.00478125878987436,0.00013624549225472004
gfffggfff,rolling stones,0.00030525645779915997,0.0022965837129113606
gfffggffg,beatles,0.0011133160188872408,0.0005759739662950401
gfffggfgf,beatles,0.0010464489272741203,0.0005878245106687999
gfffggfgg,beatles,0.004155306035452682,0.0001488871261184
gfffgggff,beatles,0.0010181801464256802,0.0006474152932044799
gfffgggfg,beatles,0.004023552008522519,0.00016336868160512005
gfffggggf,beatles,0.003992879395523041,0.00017834802400256005
gfffggggg,beatles,0.01594401130464556,4.656308225024001e-05
gffgfffff,rolling stones,0.00023242016718124002,0.010315987070489604
gffgffffg,rolling stones,0.0005766193779283603,0.0025818575425280007
gffgfffgf,rolling stones,0.00035683792626188006,0.0025977860132710404
gffgfffgg,beatles,0.0013346591189813202,0.0006522786443417602
gffgffgff,rolling stones,0.00024822752061511987,0.0026480522045081605
gffgffgfg,beatles,0.0008973016874186798,0.0006641628079462401
gffgffggf,beatles,0.0008377709951797598,0.0006804713273600001
gffgffggg,beatles,0.0033208106758036387,0.00017256151569919995
gffgfgfff,rolling stones,0.00019927056106443992,0.002827726029347841
gffgfgffg,rolling stones,0.0006888848277051596,0.0007089214977689602
gffgfgfgf,rolling stones,0.00062179808983764,0.0007211724492339202
gffgfgfgg,beatles,0.00245703780327796,0.00018234786841088004
gffgfggff,rolling stones,0.0005909764357252003,0.0007753844700416002
gffgfggfg,beatles,0.0023246584086518,0.00019543954818560005
gffgfgggf,beatles,0.00230040997910272,0.00020997381507584006
gffgfgggg,beatles,0.009183103074185081,5.448293275136002e-05
gffggffff,rolling stones,0.00021647730966779994,0.0035981472118169623
gffggfffg,rolling stones,0.0006727670504401998,0.0009015094907494405
gffggffgf,rolling stones,0.00055292237896988,0.0009128722875392004
gffggffgg,beatles,0.002159094533521319,0.00023019824076800016
gffggfgff,rolling stones,0.0004947084597434399,0.0009537772291788806
gffggfgfg,beatles,0.00192176928009916,0.00023995762691072012
gffggfggf,beatles,0.0018865296308848802,0.0002522344295321601
gffggfggg,beatles,0.007524763048063322,6.483681496064004e-05
gffgggfff,rolling stones,0.0004853850006665199,0.0011647959198464006
gffgggffg,beatles,0.00183806743714628,0.00029259795591680016
gffgggfgf,beatles,0.0017743469064586002,0.00030207960149504005
gffgggfgg,beatles,0.0070656140179114,7.702779439616001e-05
gffggggff,beatles,0.001749059115780241,0.0003544575817625599
gffggggfg,beatles,0.006941734561026363,8.980895028223997e-05
gffgggggf,beatles,0.006908255189460643,0.00010239828270079999
gffgggggg,beatles,0.027599494270239968,2.7214525183999998e-05
gfgffffff,rolling stones,0.0003354482903198001,0.016769438600814077
gfgfffffg,rolling stones,0.0007903647485562004,0.0041957922361779195
gfgffffgf,rolling stones,0.0004470354425409202,0.00421482852022016
gfgffffgg,beatles,0.0016436321046798795,0.00105710015162624
gfgfffgff,rolling stones,0.0002772263116141599,0.004273879577761281
gfgfffgfg,rolling stones,0.0009602060967972402,0.00107104399676672
gfgfffggf,rolling stones,0.0008675199144591198,0.0010904076056652801
gfgfffggg,beatles,0.003423401666642679,0.00027551606527232
gfgffgfff,rolling stones,0.00019858716156747987,0.0044717304972569615
gfgffgffg,rolling stones,0.0006307815349397199,0.00112031787225344
gfgffgfgf,rolling stones,0.000529189269053,0.0011348225820032001
gfgffgfgg,beatles,0.0020719713964209986,0.0002861554832000001
gfgffggff,rolling stones,0.0004820203889405603,0.0011968521761868804
gfgffggfg,beatles,0.001870937480194841,0.0003011078065587201
gfgffgggf,beatles,0.0018354438332329607,0.0003180393976601601
gfgffgggg,beatles,0.0073158899283604405,8.184995473664003e-05
gfgfgffff,rolling stones,0.00017700093765884,0.005154782762478081
gfgfgfffg,rolling stones,0.00050552293690676,0.00129107167976192
gfgfgffgf,rolling stones,0.00037995144317724014,0.0013045716293964805
gfgfgffgg,beatles,0.0014643803461523606,0.0003285143475891201
gfgfgfgff,rolling stones,0.0003188194703507999,0.0013507878532121606
gfgfgfgfg,beatles,0.0012158322447301995,0.0003395037725158401
gfgfgfggf,beatles,0.0011791282549431204,0.00035378324718848
gfgfgfggg,beatles,0.004694324107630681,9.054129435392002e-05
gfgfggfff,rolling stones,0.00030179030464988,0.0015624785423436808
gfgfggffg,beatles,0.00111609354424132,0.00039228891713792005
gfgfggfgf,beatles,0.00106016847850084,0.00040319101396735994
gfgfggfgg,beatles,0.004212349186054759,0.00010256694489343997
gfgfgggff,beatles,0.0010372188183024802,0.0004589362579788801
gfgfgggfg,beatles,0.00410391591348972,0.00011612404727552003
gfgfggggf,beatles,0.0040765411688888,0.00013002247186688005
gfgfggggg,beatles,0.0162792087190022,3.4330037880320013e-05
gfggfffff,rolling stones,0.00025660804601532,0.0077399283324569605
gfggffffg,rolling stones,0.0006465231743614803,0.0019374085918054404
gfggfffgf,rolling stones,0.0004106274328015605,0.0019509540438272005
gfggfffgg,beatles,0.0015398665930688412,0.0004901432733440001
gfggffgff,rolling stones,0.0002948914670711202,0.0019941672524748802
gfggffgfg,beatles,0.001071992332990681,0.0005003680167987201
gfggffggf,beatles,0.00100525996947,0.00051429590498816
gfggffggg,beatles,0.003983248624591,0.00013065526936064005
gfggfgfff,rolling stones,0.0002453410353942,0.0021547189635584005
gfggfgffg,beatles,0.0008544076928378,0.0005403687193088003
gfggfgfgf,beatles,0.00077620122434372,0.0005508490728550402
gfggfgfgg,beatles,0.0030670131874390794,0.00013946233097216008
gfggfggff,beatles,0.0007415279881293598,0.0005982165166745604
gfggfggfg,beatles,0.0029142530926500386,0.0001509136533862401
gfggfgggf,beatles,0.0028826419393267193,0.00016347499143680013
gfggfgggg,beatles,0.011502977729389076,4.2577937792000037e-05
gfgggffff,rolling stones,0.00027278625737804017,0.002920878097134079
gfgggfffg,beatles,0.0008573106600835604,0.00073188135210752
gfgggffgf,rolling stones,0.00071307043803628,0.0007415426550809603
gfgggffgg,beatles,0.0027846137585829196,0.00018706056713984
gfgggfgff,rolling stones,0.0006441532013559196,0.0007774571153484801
gfgggfgfg,beatles,0.0025012651004698793,0.00019564741390592003
gfgggfggf,beatles,0.0024552116916077595,0.00020623448131328002
gfgggfggg,beatles,0.009788078766955635,5.307939291392001e-05
gfggggfff,rolling stones,0.0006355762113284402,0.0009755119656857606
gfggggffg,beatles,0.0024067898830411605,0.00024506452987904003
gfggggfgf,beatles,0.002324332891114441,0.0002533020732416001
gfggggfgg,beatles,0.009251590260953159,6.461892408320003e-05
gfgggggff,beatles,0.0022926540189236,0.00030093683103487993
gfgggggfg,beatles,0.009094158519709402,7.626446796032002e-05
gfggggggf,beatles,0.009048234010703518,8.747729328895995e-05
gfggggggg,beatles,0.03614338698487628,2.3288128842239996e-05
ggfffffff,rolling stones,0.00041868407586348005,0.027070673345024002
ggffffffg,rolling stones,0.0009776812617517201,0.006771290505113601
ggfffffgf,rolling stones,0.0005441019712500404,0.00679137558308864
ggfffffgg,beatles,0.001991515774063561,0.0017014254073241602
ggffffgff,rolling stones,0.00033025501075528,0.006853588419829762
ggffffgfg,rolling stones,0.00112942426742892,0.0017161174879846404
ggffffggf,rolling stones,0.0010099687056732006,0.0017365535012864002
ggffffggg,beatles,0.003976727368343802,0.0004372164220928001
ggfffgfff,rolling stones,0.00023333502320460004,0.007060383577917443
ggfffgffg,rolling stones,0.0007178275261153998,0.0017676269623193605
ggfffgfgf,rolling stones,0.00058394245073108,0.0017829865788723204
ggfffgfgg,beatles,0.0022764183150181206,0.0004483442373324802
